date,min_temp_5,min_sal_5,min_oxy_5,max_temp_5,max_sal_5,max_oxy_5,avg_temp_5,avg_oxy_5,avg_sal_5,min_temp_150,min_sal_150,min_oxy_150,max_temp_150,max_sal_150,max_oxy_150,avg_temp_150,avg_oxy_150,avg_sal_150
2015-03-18,9.0431,27.4115,8.1068,9.1111,27.5307,8.4625,9.080118181818182,8.236472727272728,27.457190909090908,9.4328,30.2691,3.3156,9.4393,30.3205,3.3762,9.43618,3.34881,30.28955
2015-03-24,9.1771,24.5089,7.0508,9.1948,27.8283,7.2766,9.1845,7.15705,26.16146,9.3961,24.8853,3.0964,9.4558,30.4082,3.304,9.41607,3.18694,27.64608
2015-03-26,9.2953,27.7503,6.845,9.4316,27.9575,7.1396,9.358789999999999,6.9122,27.86981,9.4403,30.3033,3.2999,9.4493,30.3235,3.3476,9.44666,3.32402,30.3183
2015-03-31,9.5149,27.6854,6.5048,9.5357,27.7508,6.8543,9.52730909090909,6.571863636363637,27.701354545454546,9.4535,30.3467,3.2459,9.4663,30.3809,3.2692,9.46235,3.25757,30.37113
2015-04-06,9.6885,27.1881,6.7606,9.833,27.4755,6.9347,9.797254545454546,6.815836363636364,27.241009090909092,9.4353,30.3515,3.2236,9.4406,30.3793,3.2503,9.43729,3.23506,30.36417
2015-04-14,9.9902,24.2417,7.7928,10.0716,26.9144,8.1461,10.04351,8.00795,25.45454,9.2587,25.2113,3.5618,9.2718,30.3131,3.6593,9.267430000000001,3.6131,27.758399999999998
2015-04-15,10.1204,26.6452,8.7383,10.4157,26.9456,9.5388,10.29347,9.05203,26.74534,9.2714,30.3071,3.5216,9.2917,30.3313,3.5592,9.28097,3.54358,30.31973
2015-04-22,10.0702,27.1529,6.9691,10.5797,28.1078,8.0658,10.467709090909091,7.684245454545454,27.509581818181818,9.2183,30.2718,3.5444,9.2262,30.289,3.5927,9.22349,3.56753,30.28137
2015-05-01,10.5752,27.61,7.515,10.8187,27.896,7.9594,10.692218181818182,7.763645454545454,27.74681818181818,9.1925,30.2232,3.5608,9.2206,30.2562,3.6177,9.2019,3.59078,30.23993
2015-05-05,10.8602,27.6386,7.502,11.2173,27.8391,7.6509,11.01657,7.5719899999999996,27.76845,9.2178,30.2889,3.4018,9.2311,30.306,3.4497,9.22371,3.42383,30.29663
2015-05-11,12.7687,27.0655,2.8442,13.117,27.2189,8.0236,13.015600000000001,7.050709090909091,27.14050909090909,9.2172,30.355,3.3074,9.2588,30.4017,3.4432,9.237820000000001,3.37629,30.37591
2015-05-12,12.0722,26.897,6.195,13.4052,27.6774,8.1834,12.438172727272727,7.687390909090909,27.449663636363635,9.2213,30.3863,3.2379,9.2414,30.4169,3.339,9.23166,3.28856,30.40317
2015-05-13,11.8952,26.2567,7.5759,13.8357,27.9611,8.0158,13.1073,7.73254,27.43835,9.1934,30.3071,3.3238,9.2088,30.3421,3.3828,9.20455,3.35225,30.33162
2015-05-21,15.0808,27.0707,6.7203,15.2814,27.5526,7.4908,15.18494,7.18528,27.282420000000002,9.2143,30.3935,2.9799,9.2165,30.4014,2.9936,9.21568,2.9849200000000002,30.39812
2015-05-26,15.9566,26.4964,6.8285,16.1993,26.6746,7.4597,16.13164,7.06492,26.55208,9.1781,30.4061,2.9644,9.2084,30.4391,3.0238,9.19274,2.9798999999999998,30.42268
2015-05-27,15.5355,27.2439,7.5137,15.5497,27.2477,7.5409,15.54482,7.52574,27.24488,9.1365,30.3892,3.1599,9.1463,30.4063,3.1833,9.13932,3.1734999999999998,30.39898
2015-06-09,12.349,27.5284,4.9351,12.3548,27.5708,5.1059,12.35318,5.05514,27.54144,Inf,Inf,Inf,-Inf,-Inf,-Inf,NaN,NaN,NaN
2015-06-15,11.398,28.1539,5.2931,12.4428,28.5785,5.6873,11.84308,5.55284,28.41092,9.1289,30.3795,3.0317,9.1303,30.3927,3.043,9.12944,3.03578,30.386120000000002
2015-06-16,11.6394,27.7176,5.2946,12.1273,27.9394,6.2663,11.88674,5.78164,27.786,9.1412,30.4275,2.9677,9.1422,30.4402,3.023,9.14186,2.98736,30.4339
2015-06-24,17.0096,26.1787,6.6457,17.7393,26.257,7.277,17.48026,6.92064,26.2087,9.1317,30.4129,3.0346,9.1384,30.4508,3.0843,9.1349,3.05478,30.42942
2015-06-30,-9.99e-29,-9.99e-29,-9.99e-29,15.8101,27.2742,6.8603,8.482244444444444,3.4826333333333332,14.634822222222223,9.1405,30.4568,2.9339,9.1464,30.4667,2.98,9.1432,2.96446,30.46046
2015-07-06,11.6101,27.9024,4.2116,12.6746,28.4623,4.8605,12.1412,4.51466,28.2012,9.1418,30.4346,3.053,9.142,30.4351,3.0594,9.141919999999999,3.05664,30.4347
2015-07-07,-9.99e-29,-9.99e-29,-9.99e-29,13.1071,27.4404,5.3271,8.897357142857143,3.5865714285714287,19.2328,9.1409,30.4423,2.9433,9.1415,30.4595,3.0408,9.14114,3.00214,30.4502
2015-07-16,16.6034,25.5627,5.6558,16.9917,26.75,6.2673,16.89556,6.08108,25.940179999999998,9.1855,30.4762,2.7689,9.1868,30.4912,2.7791,9.18624,2.77426,30.48366
2015-07-22,14.2502,27.0942,5.8749,14.5342,27.3663,6.3199,14.3293,6.0899,27.17764,9.1567,30.5002,2.7964,9.1571,30.5108,2.8098,9.15692,2.80204,30.5059
2015-07-23,14.8203,27.0366,6.4339,15.1825,27.2834,6.7782,14.99626,6.68596,27.10434,9.1585,30.4874,2.7808,9.1603,30.5107,2.8008,9.1594,2.78908,30.49902
2015-07-28,-9.99e-29,-9.99e-29,-9.99e-29,17.1837,27.9872,6.4705,12.1773,4.521214285714286,19.783742857142858,9.1605,30.4657,2.7625,9.1693,30.5027,2.7827,9.1652,2.77298,30.48348
2015-08-12,-9.99e-29,-9.99e-29,-9.99e-29,17.3646,28.0805,6.5241,14.316133333333333,5.36695,23.109183333333334,9.227,30.5265,2.7008,9.2281,30.5312,2.7086,9.22734,2.70322,30.52888
2015-08-20,12.3755,27.1475,4.4764,13.3861,28.2332,5.0561,12.829740000000001,4.69932,27.7028,9.2568,30.5525,2.5809,9.2595,30.5698,2.608,9.25788,2.58956,30.562079999999998
2015-08-25,11.3012,25.6135,4.2236,13.7088,28.4679,7.0489,12.4148,5.14986,27.31378,9.36,30.563,2.6334,9.3649,30.5716,2.6491,9.36268,2.64036,30.56756
2015-09-02,-9.99e-29,-9.99e-29,-9.99e-29,15.0813,28.0616,5.3835,10.7712,3.8226714285714287,20.014914285714283,9.3161,30.542,2.4955,9.332,30.5827,2.5486,9.323080000000001,2.52978,30.56114
2015-09-09,15.2506,26.4757,5.1148,15.6759,27.4567,6.3552,15.587711111111112,5.788211111111111,26.98438888888889,9.5027,30.6235,2.6013,9.5203,30.6421,2.6106,9.51364,2.60594,30.63182
2015-09-10,15.3003,26.8808,6.0728,16.1599,27.6452,6.5171,15.7422,6.271,27.21424,9.4251,30.624,2.5817,9.4554,30.6457,2.5944,9.43836,2.58826,30.63582
2015-09-15,11.4542,28.0446,3.5102,11.8278,28.3799,4.5503,11.65034,4.07656,28.19646,9.5619,30.6349,2.5389,9.585,30.6654,2.5497,9.57708,2.54524,30.65178
2015-09-22,13.0929,28.4814,5.1906,13.13,28.4845,5.2851,13.11926,5.24168,28.4836,9.4499,30.6642,2.4598,9.4548,30.6708,2.4644,9.45214,2.46176,30.66806
2015-09-25,13.1672,28.359,5.2354,13.2463,28.5164,5.3902,13.2164,5.28604,28.41118,9.4995,30.6208,2.3958,9.525,30.6307,2.4029,9.51132,2.39962,30.6265
2015-09-28,12.5978,26.5629,4.645,12.7417,28.7236,5.4023,12.68136,4.9298400000000004,27.718880000000002,9.5822,30.6538,2.3526,9.6486,30.6646,2.3872,9.62184,2.36636,30.65962
2015-10-05,11.0114,27.8609,3.7972,11.0969,28.2307,4.9132,11.04542,4.47976,27.98036,9.8407,30.7494,2.4599,9.8704,30.7687,2.4628,9.8604,2.46104,30.76286
